listing_id,tiene_cochera,m2,banos,ingreso_zona,estado,tipo_vivienda,barrio,codigo_postal,mes_venta,anio_alta,precio,precio_solo_cochera,precio_solo_m2_banos,precio_solo_ingreso,precio_solo_estado,precio_solo_tipo,precio_solo_barrio,precio_solo_cp,precio_solo_mes,precio_solo_antiguedad,precio_solo_id
972918,True,133,1,66922,bueno,departamento,barrio_26,1019,2,1973,419157,81808,308644,146356,78901,59268,74827,60254,67873,45967,65930
472794,False,83,2,53707,regular,casa,barrio_54,1020,8,1979,301879,68394,236746,143772,63717,79737,54019,60131,47568,46980,60011
441415,False,122,2,15446,regular,duplex,barrio_07,1012,1,2017,379947,51926,304217,139709,63377,73461,51173,46315,66264,58252,66766
168174,False,97,3,43090,bueno,casa,barrio_27,1012,5,1977,359652,62796,268897,149705,78540,85191,73176,46453,70783,45769,58917
229561,False,64,2,36530,bueno,casa,barrio_42,1024,1,1989,304956,58058,200484,144437,79160,77828,34670,38214,63393,51899,56835
817153,True,86,1,18351,regular,departamento,barrio_12,1033,4,2013,377335,76242,227141,138561,60174,63821,65849,60009,69364,59147,52827
461670,True,85,2,48359,bueno,departamento,barrio_43,1035,6,1951,297471,76627,235619,145303,70635,58509,61853,42803,56648,43443,62825
431631,False,71,2,40824,bueno,PH,barrio_18,1030,4,1988,351756,63764,215958,143424,76062,52828,90134,73404,66268,46093,62963
630045,False,110,2,34267,bueno,duplex,barrio_48,1024,5,2000,392761,59054,274226,142674,67280,69992,77602,45245,64128,50404,70737
564903,False,103,1,34377,bueno,duplex,barrio_34,1020,2,2014,431808,63977,251868,138281,74476,71213,75399,66710,64791,60304,63816
992889,False,39,1,33792,bueno,departamento,barrio_32,1013,9,1954,221287,58363,139852,141753,77550,59493,49309,70270,51116,39110,67525
834758,False,37,2,27061,bueno,duplex,barrio_10,1030,10,2001,274124,63260,150188,134310,70707,69497,78627,69858,51103,55091,60739
669735,False,110,1,40614,regular,PH,barrio_27,1012,6,2006,345497,63571,261146,148498,57512,47548,71614,44878,63432,61205,54262
109426,False,66,2,21696,regular,casa,barrio_51,1010,1,1974,303075,56099,204163,137353,65873,82143,74394,48201,66351,47885,52153
441764,False,106,1,304202,bueno,duplex,barrio_01,1034,1,2002,330678,67786,270266,159026,74338,74645,35879,46040,65141,49784,54500
681168,True,122,3,11761,muy bueno,casa,barrio_45,1023,9,1985,437715,73089,322249,129305,102547,76749,59243,51046,47717,49904,65273
866665,True,51,1,22748,excelente,PH,barrio_29,1014,12,1996,360229,75972,164044,147102,178415,52942,70286,59439,64814,55178,61803
394639,True,46,2,24231,excelente,duplex,barrio_43,1034,11,1977,355484,77005,169837,139532,184477,73274,62212,41602,59801,55447,56417
748466,True,154,3,185794,bueno,casa,barrio_39,1038,5,1962,521679,72746,376319,155086,78337,76211,76619,69029,60414,42057,62992
516923,False,107,2,12631,bueno,departamento,barrio_25,1012,6,2008,329313,62745,284026,133163,77114,54258,53223,52134,63112,55639,57846
459437,True,80,1,51059,bueno,departamento,barrio_18,1020,2,1965,331352,79012,220490,145434,74769,61028,81906,68890,65726,43938,56670
548986,True,62,1,44299,muy bueno,duplex,barrio_37,1019,1,1963,302006,83333,178168,148481,103316,68649,40719,67108,68711,38655,55826
420552,False,77,2,47424,muy bueno,casa,barrio_08,1028,10,2012,364049,60582,222758,142478,102074,78012,60730,63501,50678,51935,52719
362249,True,53,1,97643,muy bueno,PH,barrio_35,1038,6,2016,333922,78130,160876,153271,96591,55484,89917,67482,63456,55185,62630
900251,False,126,3,96054,excelente,departamento,barrio_05,1021,6,1993,484381,59315,324837,153899,179019,60684,25117,49144,56051,50804,62078
738013,True,68,3,25317,bueno,casa,barrio_38,1031,5,1991,342398,70243,217775,142518,71206,83723,32322,60040,55581,57099,59836
193762,True,133,3,42413,muy bueno,PH,barrio_37,1023,4,1975,449696,77550,335179,147188,108622,53285,33039,65052,73447,46241,62622
480166,True,81,3,8174,muy bueno,duplex,barrio_05,1035,12,1993,338041,74548,249592,131405,105133,73532,25865,49286,56308,42853,61216
863005,True,58,2,39312,bueno,PH,barrio_45,1016,10,1993,268371,73434,191612,145976,78057,49163,65332,53169,54022,43923,50363
190430,True,80,1,19241,excelente,casa,barrio_24,1015,9,1986,425464,71782,217318,140106,185978,83310,49850,61937,50466,55297,65545
217541,True,25,2,31285,regular,casa,barrio_47,1016,5,1996,227193,82296,127592,139188,61557,76203,76027,53458,62233,52034,57297
643954,True,91,1,9430,excelente,departamento,barrio_02,1039,9,1989,449224,75153,235648,135538,182453,62701,71221,45607,52776,55835,62563
711519,True,89,3,50206,muy bueno,PH,barrio_10,1024,5,2012,412644,79180,245808,145437,103917,44822,70691,47531,65644,60663,64766
210226,False,124,2,9346,regular,PH,barrio_29,1006,7,1997,378312,61694,303151,131013,61784,52980,69503,59282,58838,39228,59235
581295,True,29,2,40889,muy bueno,casa,barrio_11,1001,2,1977,314276,70607,141498,144432,103721,78391,72065,45963,63797,45118,57751
258581,True,136,3,13613,regular,PH,barrio_19,1020,9,1996,405078,77880,340927,140506,57901,52740,59095,64482,51546,44995,66033
125448,True,124,2,18403,muy bueno,departamento,barrio_39,1032,1,1966,455406,71367,306981,137380,107643,64491,75867,52436,63818,39831,60089
980934,False,139,2,91472,muy bueno,PH,barrio_08,1019,9,1965,425200,56947,338420,150575,109322,49566,60139,57111,54768,49185,62837
562905,False,93,1,58124,muy bueno,duplex,barrio_40,1022,8,2008,378753,62740,236939,146082,102342,65664,73898,59074,53305,52832,62723
590201,False,130,1,91068,excelente,PH,barrio_06,1031,1,1991,498652,68777,301862,153199,179829,53139,57007,66792,66807,55361,56980
428424,False,44,1,126473,regular,casa,barrio_10,1020,7,1953,286964,54997,148462,157470,55470,75803,81586,67980,61098,42861,63831
112384,True,120,2,19570,bueno,duplex,barrio_35,1036,3,1975,448498,78860,308885,134392,77410,78870,99053,43111,66847,50450,54037
329297,False,68,3,120473,bueno,casa,barrio_47,1025,6,2019,358773,59172,211113,147500,76043,78921,66365,61332,58118,58352,59392
726730,True,37,1,11244,regular,duplex,barrio_10,1029,1,1995,297154,73254,133468,135068,58434,72208,84749,65571,61911,51006,61494
249517,False,56,2,65965,bueno,casa,barrio_17,1031,9,2011,252896,65822,182120,150580,77377,81028,41538,60852,53072,62949,51530
597573,True,95,1,24473,bueno,PH,barrio_55,1025,7,1988,341118,77966,244641,138053,69226,52816,40217,68204,57773,48073,66531
317544,True,66,1,17253,bueno,casa,barrio_59,1002,5,1953,326206,78676,190300,136408,78582,83929,81612,56573,60861,35207,63811
502132,False,108,1,59372,bueno,casa,barrio_34,1017,11,1962,407108,54722,267671,139901,82272,75744,77247,63801,56054,44374,56522
137027,False,32,2,77340,excelente,PH,barrio_26,1005,8,1956,332242,56032,146323,158680,186597,56609,79603,61256,46899,37700,61315
230462,False,25,2,75525,bueno,PH,barrio_20,1020,8,2002,235927,66697,131413,150312,78181,51722,56855,67104,46191,48072,54694
130941,True,143,2,43126,excelente,casa,barrio_36,1005,2,2003,633135,75054,335823,143354,178271,85288,46010,71076,68126,51471,59143
498444,True,127,2,40359,bueno,duplex,barrio_35,1020,7,1982,480897,74238,317973,142370,71120,66290,84772,69703,55940,43835,56606
984263,True,58,2,55353,bueno,departamento,barrio_17,1013,9,2001,278788,66407,181437,151368,73170,57985,36331,64481,44458,49553,57456
123712,True,95,1,46305,bueno,departamento,barrio_01,1000,12,1989,317204,68729,236345,137578,76846,72285,32440,36082,61901,49297,58352
761012,True,131,3,55999,bueno,departamento,barrio_09,1004,8,2002,429437,71553,327018,140878,73860,62363,34180,68779,55225,53837,49622
793643,True,110,2,42753,bueno,departamento,barrio_57,1020,3,1997,466415,68247,278711,149042,71895,58838,106231,60806,75991,49747,56470
465326,False,100,1,71270,bueno,casa,barrio_25,1003,9,1982,350673,51693,258961,153839,67911,80761,46004,65198,53318,53089,61231
338099,True,133,2,9880,bueno,departamento,barrio_28,1034,1,1996,435968,77970,323756,131269,77271,64429,63435,42501,65435,50221,65876
913956,False,69,2,32695,bueno,casa,barrio_28,1030,4,1972,340187,56683,212023,143527,73066,83371,76159,68054,67133,37454,60234
461441,False,96,3,12003,muy bueno,casa,barrio_46,1028,12,2003,452179,62328,265642,132627,108647,84625,84122,65135,59389,52091,58223
273626,False,94,1,45314,bueno,departamento,barrio_03,1006,10,2014,318090,57365,236857,142408,76088,52837,80573,52300,60356,61822,60267
680005,True,85,3,135069,muy bueno,PH,barrio_04,1031,11,1964,337494,73849,247258,156124,100960,52217,9954,57799,52778,47597,66037
271249,True,81,2,24853,bueno,duplex,barrio_16,1025,5,1997,358527,71879,232635,138875,82644,71578,69737,61688,64540,55948,54559
844964,True,98,1,40207,excelente,departamento,barrio_29,1015,9,1957,468634,75588,250019,151692,175617,54884,74383,73447,47754,45552,66773
264980,False,96,2,66515,muy bueno,departamento,barrio_40,1000,9,1976,383632,64036,259015,149487,100675,59486,81828,36510,55112,53319,59320
569931,True,58,3,6945,excelente,duplex,barrio_29,1021,3,1997,416945,78737,194513,129849,185355,69374,72700,53373,68457,62705,62660
406920,True,123,1,23916,muy bueno,PH,barrio_26,1031,12,1969,438296,73930,300655,146094,104309,48335,73112,63472,65710,48748,60586
665102,False,61,3,48611,regular,duplex,barrio_56,1001,12,1966,266475,64108,199878,149541,59571,70693,50330,52725,54673,40826,52923
112796,False,87,3,3577,bueno,duplex,barrio_09,1002,2,1977,312107,64896,264640,123776,70058,65413,39962,64084,64974,45795,57220
410517,False,85,3,16623,bueno,duplex,barrio_34,1015,10,1958,368289,58530,252085,136189,73000,67497,75348,62683,48664,35021,60902
459698,True,108,1,87613,muy bueno,duplex,barrio_32,1020,6,1994,448822,78441,271043,148436,101791,74137,48630,63388,57594,48405,70251
735484,False,25,2,81016,muy bueno,departamento,barrio_28,1018,9,1959,235421,59431,134575,149325,97938,61471,68762,72603,51033,45937,55432
891377,True,126,2,48994,bueno,departamento,barrio_48,1017,7,1973,431034,76667,306456,143244,62949,60265,78642,69173,60301,47387,59464
886609,True,71,2,73553,excelente,departamento,barrio_16,1010,3,1972,419119,78264,213015,148257,183170,53628,67876,35461,70121,49930,63515
426159,False,138,3,43135,regular,casa,barrio_57,1002,2,2018,513381,59452,346964,144513,62012,77116,91172,59191,69766,61701,63390
843398,False,78,1,56631,muy bueno,PH,barrio_19,1001,7,2020,323853,63023,220742,153247,111189,59202,63716,51309,58178,57818,59635
356529,True,93,2,28211,muy bueno,PH,barrio_32,1003,11,1955,343553,73848,248790,131816,105343,51273,55633,62792,53280,28721,64284
202140,True,162,3,39841,regular,duplex,barrio_31,1027,10,1961,470820,73687,393835,138712,55830,68414,47170,61292,51497,38890,66270
499401,True,85,3,21897,muy bueno,casa,barrio_50,1031,4,2001,427524,75234,250174,144025,100217,85996,67820,57185,68041,58420,58416
749637,False,138,2,99786,muy bueno,departamento,barrio_26,1017,11,1971,460764,59280,336975,151828,105679,63167,68546,61490,58059,49720,61832
978875,False,96,3,122669,regular,casa,barrio_17,1003,5,1995,344579,59074,268764,153446,59788,77807,39902,58690,69390,53225,65304
485280,True,110,2,109527,bueno,duplex,barrio_01,1016,7,2015,375880,69041,284317,151378,68467,70157,36382,58835,58755,55977,65485
837691,True,97,2,26200,bueno,departamento,barrio_21,1039,4,1961,388435,69927,263805,141074,75465,59298,40704,49005,71178,37012,56356
116916,False,125,2,16932,muy bueno,casa,barrio_49,1009,7,2018,435076,61437,315937,144570,103250,73118,60707,56328,67702,55822,58874
945153,False,71,1,100869,regular,PH,barrio_00,1019,7,1953,264552,59710,199654,143783,62434,49277,74927,51077,52464,37335,58859
395077,True,61,1,56113,excelente,duplex,barrio_53,1021,9,1966,356783,75018,184443,147288,175651,67682,48507,53926,53840,41295,50029
146760,False,73,3,47234,excelente,duplex,barrio_32,1013,6,1986,436635,62142,226067,144688,181679,66569,43279,60919,53353,49878,66341
946563,False,98,1,21875,bueno,casa,barrio_08,1017,7,2012,327195,54753,251569,139288,68153,80466,60215,58384,52243,54849,56416
609171,True,87,2,51048,bueno,departamento,barrio_18,1018,8,1989,378487,73032,233642,148038,72234,55240,77431,69695,44944,41477,64163
775359,False,120,2,15242,muy bueno,casa,barrio_33,1018,6,1959,412424,57818,295881,133772,108121,77232,46886,70800,62341,43111,62414
498127,False,141,2,60310,muy bueno,departamento,barrio_18,1028,7,1967,450631,58635,340109,147819,104901,58870,77919,66429,60113,45608,55732
112213,True,61,2,109438,bueno,PH,barrio_06,1023,2,2004,341560,79029,192563,160982,75036,54162,61775,61267,63656,57344,61709
540367,False,69,3,133898,bueno,departamento,barrio_39,1002,11,1989,342602,61693,212283,158839,78684,61138,73142,60684,56370,55096,59003
997246,False,45,3,64012,regular,casa,barrio_40,1000,2,1950,257610,55012,176602,148625,60872,73100,77102,40306,72934,42571,62973
368850,True,166,3,12021,excelente,PH,barrio_07,1016,11,1985,570163,76337,387868,124410,179609,53399,54390,54359,57739,46431,58464
778702,True,106,2,42526,bueno,casa,barrio_16,1036,10,1978,367603,76357,276596,145802,75967,81460,69769,48563,52727,46270,70553
160431,False,112,3,201138,excelente,casa,barrio_14,1001,12,1950,504564,64273,296209,150228,182183,82012,67171,48135,65275,42470,59218
952820,True,48,2,18126,bueno,casa,barrio_39,1002,1,1967,292378,71304,164159,146511,74382,79705,76087,60347,64627,44326,59220
699001,True,95,2,34636,excelente,casa,barrio_43,1027,3,2016,521540,76444,255953,141978,180450,79564,69733,56287,69999,56306,64492
444289,True,113,3,112512,regular,departamento,barrio_43,1018,1,1999,431303,69848,296992,148761,57036,61885,65335,70382,71301,52696,59632
274828,False,86,3,59499,regular,duplex,barrio_56,1009,6,1955,328828,53386,251246,143543,58126,79407,53371,57546,62470,43628,50429
642890,False,133,1,264111,excelente,duplex,barrio_46,1008,11,1951,551303,62568,311971,157894,179359,65731,86995,61448,54440,40550,57408
159396,False,176,3,20205,excelente,casa,barrio_19,1026,10,1974,599168,67138,413841,137774,180600,76593,58464,58486,50104,45547,60785
731319,False,62,3,16452,bueno,casa,barrio_06,1020,9,1983,301377,60801,203706,132223,76801,84157,66043,72307,50863,47966,52108
380218,True,59,3,96693,bueno,departamento,barrio_36,1025,11,1982,324750,76471,203038,159032,73002,59113,61173,61074,57315,55528,61220
130715,True,64,3,13951,bueno,PH,barrio_54,1011,1,1999,275250,76011,212808,131983,79844,49673,49894,50908,69169,52866,60765
257425,False,151,3,31026,bueno,PH,barrio_58,1021,10,1962,428501,59348,367721,134209,75320,55693,40369,51993,57931,35583,56216
782494,True,131,1,34458,bueno,duplex,barrio_13,1034,4,1953,431949,76479,302946,147060,79544,76905,85657,40539,63445,41202,63700
466271,False,90,1,83182,excelente,departamento,barrio_14,1012,9,1997,413161,57135,236562,143291,177073,58053,70257,51526,49063,53377,65498
788717,True,96,1,59362,bueno,casa,barrio_02,1015,10,2013,386502,75327,249247,148316,80141,85928,71043,67185,57860,56893,61160
101524,True,66,1,52347,muy bueno,casa,barrio_08,1006,9,1961,292072,73135,193954,142540,103964,81552,59381,52222,48842,39590,58851
128794,False,126,1,26319,regular,casa,barrio_33,1025,6,1975,356447,56952,298649,139274,63131,79711,42910,67790,61347,45851,64552
190622,True,82,2,95990,regular,casa,barrio_32,1001,8,1994,351657,72465,226046,148971,57700,84154,41673,54574,54322,48829,64095
549809,True,86,1,909508,muy bueno,duplex,barrio_22,1009,6,1961,418757,79058,223391,167398,104735,69494,90568,52213,62924,41952,62420
761011,True,116,1,63135,bueno,departamento,barrio_18,1028,8,2011,380516,69364,281493,151736,79129,59859,81275,62508,51726,54995,58447
428988,True,88,2,39330,muy bueno,duplex,barrio_49,1000,6,1966,360809,74363,251369,146537,100484,68233,61518,43550,60166,35475,56448
767273,True,87,3,12858,regular,PH,barrio_27,1039,5,1987,307059,70998,250103,137317,62629,51808,67787,46839,66680,37557,65491
665911,False,95,1,21808,excelente,PH,barrio_48,1016,3,1974,443512,59109,248442,136710,181941,50557,81865,55592,69114,51685,51491
227191,True,123,2,30608,muy bueno,departamento,barrio_57,1015,5,1997,525484,77349,307946,148335,110868,51843,96233,67344,66232,48059,61423
255487,False,153,2,23678,excelente,duplex,barrio_19,1021,9,1964,527785,55620,359236,143997,183413,66659,63772,54845,56316,46020,59395
208565,False,115,3,35851,regular,casa,barrio_12,1025,11,1956,374071,58313,304171,138153,57241,74325,62543,65349,56865,40629,63036
802267,True,123,1,150605,bueno,casa,barrio_57,1018,2,1986,494661,76778,292998,146442,75008,72888,91475,69358,71618,44653,55101
970767,True,88,3,98492,bueno,departamento,barrio_38,1035,3,2011,339643,82291,255230,150905,79519,58529,36447,47350,69401,52216,65467
437236,False,70,1,31982,bueno,departamento,barrio_17,1038,7,1994,262053,59795,196166,141846,69738,60833,38434,60415,60294,51397,54284
134579,False,118,1,13813,bueno,PH,barrio_37,1008,9,2003,315566,65490,286320,137422,74816,51782,46979,74186,43720,52741,56293
627046,False,101,1,105862,regular,PH,barrio_30,1028,3,1980,415073,61088,257571,152068,63612,53755,105909,63747,74022,48255,68514
180175,True,45,3,34918,bueno,PH,barrio_54,1012,4,1959,252141,72309,170752,146347,71540,56482,53261,50284,64323,45334,63771
968522,False,84,1,9125,bueno,departamento,barrio_15,1039,1,1980,261706,73444,223972,134314,90144,65767,36632,54061,65661,47316,55397
887838,False,92,3,64212,bueno,departamento,barrio_59,1010,1,2020,399276,65046,261732,143337,77749,61673,82288,46135,66432,59470,60349
773852,False,77,3,82500,bueno,duplex,barrio_56,1011,2,2005,337920,57387,240118,146244,75483,70113,51494,47967,71476,56726,57664
616181,True,147,3,5215,bueno,casa,barrio_10,1028,9,1999,495922,69132,362428,126428,72857,72488,77512,66563,52928,55275,60489
119179,False,112,1,18776,muy bueno,PH,barrio_09,1031,11,1971,390689,64498,278989,143264,104845,48912,35116,57744,54675,48516,67705
437947,True,143,1,33244,bueno,PH,barrio_31,1005,6,1992,428341,75288,327037,147714,76441,56540,51794,68050,60595,47021,49138
572283,False,104,1,65356,bueno,duplex,barrio_02,1022,3,1994,400388,52256,260416,148024,71342,76930,81988,54440,66878,55821,58375
487064,True,98,3,24038,bueno,PH,barrio_17,1013,12,1996,367949,72187,270203,137435,68203,52274,38667,59603,56996,48853,62384
304138,False,62,1,18663,muy bueno,departamento,barrio_26,1024,4,2013,295984,58731,180907,138101,105525,66473,73025,42712,59962,54277,58667
989949,True,95,2,64974,bueno,departamento,barrio_58,1022,2,1998,347013,73423,257861,149683,78590,59395,39309,56345,76272,52572,58879
719598,False,95,2,24968,muy bueno,departamento,barrio_59,1039,2,1965,367460,62575,253156,147111,106901,66880,81857,50521,67461,40219,64124
715715,True,47,3,56030,excelente,departamento,barrio_09,1037,5,1965,330116,75329,180053,152911,185262,54791,39173,52894,74748,41333,60737
246399,True,76,2,14925,bueno,casa,barrio_53,1026,9,1994,294890,75156,219270,142306,75211,80239,55314,55698,53579,45757,57715
938138,False,84,2,12310,excelente,PH,barrio_05,1027,5,2011,363348,62288,234706,136022,178890,49772,28541,60486,55806,54156,64910
865769,False,109,3,66451,muy bueno,casa,barrio_44,1035,6,2017,421914,60803,289312,149006,103742,83478,57751,44552,65987,57620,56305
879501,True,111,3,44445,regular,PH,barrio_50,1007,5,1993,392209,75283,293209,151551,59072,55964,68439,46335,65913,49499,60796
440708,False,75,2,75960,bueno,duplex,barrio_53,1029,12,1987,319946,57437,215547,145610,68568,69689,52453,63760,64027,51863,68443
549383,True,111,2,23716,muy bueno,duplex,barrio_13,1030,9,2007,476512,72351,278125,142236,108160,71553,86443,73795,57428,54642,60308
374338,False,89,2,19224,excelente,casa,barrio_53,1005,8,2019,476148,57249,248115,139979,183201,75026,50635,66128,59418,44999,62516
172429,False,25,3,107858,bueno,duplex,barrio_06,1035,6,1951,208724,61953,142994,154677,77027,72776,58921,38011,66307,37672,53098
477913,False,78,2,10739,regular,casa,barrio_31,1027,7,1972,284574,60722,223226,134610,60900,79152,52296,65876,60338,39098,55549
397366,False,133,2,98831,muy bueno,departamento,barrio_28,1013,11,1973,429192,58358,326183,151314,108772,64272,73295,66266,57698,44016,61857
260643,True,36,3,104444,regular,casa,barrio_18,1019,8,1990,261058,77573,164050,155916,69113,82591,80993,57925,49481,45528,61472
659032,True,99,3,72263,muy bueno,casa,barrio_01,1019,10,1970,385198,76511,268835,156633,103477,83100,35013,60445,52310,49520,62208
380975,False,150,2,20947,bueno,casa,barrio_46,1036,1,1972,446612,65503,356174,132251,74423,85095,85363,43909,63786,45974,57776
968699,True,68,1,18897,muy bueno,casa,barrio_20,1038,11,1951,338906,73234,197074,139457,108868,79220,55320,73904,55102,42375,63150
823243,True,95,1,30698,excelente,duplex,barrio_39,1032,12,1950,454567,78692,241161,142268,175078,76254,80373,52389,58225,45503,60017
259459,False,49,2,12887,muy bueno,casa,barrio_24,1026,9,1981,293192,64369,170606,132878,104367,79892,44522,55041,50545,56859,54983
549330,True,152,3,16825,muy bueno,departamento,barrio_22,1004,12,2020,534292,76886,369301,135992,102464,57798,89409,72048,59089,57579,68576
950513,True,92,3,60827,muy bueno,PH,barrio_53,1036,7,1970,399892,66640,261103,142941,96207,59203,51273,44981,57258,46362,65257
611889,False,97,3,61052,muy bueno,duplex,barrio_05,1005,4,1967,386380,62320,262668,144838,105777,74525,23987,67932,69018,40871,56003
136408,True,142,1,15683,excelente,duplex,barrio_44,1006,8,1968,557588,86195,326779,139779,183534,75063,62053,60450,54098,43041,65443
917218,True,118,2,62374,regular,casa,barrio_44,1002,8,2019,415826,76632,296241,154517,57468,75395,61933,65102,55521,55852,58196
311831,True,64,3,52232,muy bueno,duplex,barrio_22,1037,2,1997,392723,71403,209474,142120,111702,77775,93718,50209,75227,55986,56159
131982,True,72,3,121529,bueno,PH,barrio_15,1019,3,1996,313804,76591,226056,151323,70144,56653,40174,57400,64360,55489,62141
108961,False,112,1,57257,excelente,casa,barrio_00,1009,4,1963,482065,52975,275300,152041,179494,75438,68065,51960,71664,40762,63520
743244,False,73,3,84699,muy bueno,departamento,barrio_56,1003,7,2014,358268,55470,229457,150942,98463,63699,53906,62619,54111,56428,58342
433868,False,25,1,53192,bueno,duplex,barrio_56,1016,2,1963,222084,62416,109209,146615,70150,74110,49436,56757,68456,44548,57903
290054,True,93,1,79534,bueno,departamento,barrio_14,1028,10,2018,388536,78611,240243,149803,78047,59993,68853,73313,57168,55730,52702
108669,True,43,3,12969,bueno,casa,barrio_01,1039,2,2017,257082,84896,173661,135270,73775,79663,34693,52329,64095,59851,61229
839215,True,152,3,32945,muy bueno,duplex,barrio_07,1022,12,1990,479934,75790,375112,133652,107379,71501,50013,52746,65319,45811,60180
879590,False,101,3,35200,bueno,duplex,barrio_04,1024,9,2011,309857,62312,277436,144223,74183,70027,5429,47723,45915,52667,63510
208481,False,63,2,29882,regular,duplex,barrio_49,1033,5,2020,312170,55143,202294,141811,57192,66740,57124,57239,63496,61317,65300
263481,True,71,2,51798,excelente,duplex,barrio_53,1036,5,1991,400193,80955,216021,149380,172324,65716,51693,41499,59817,53426,59515
268311,False,29,2,60325,muy bueno,duplex,barrio_09,1011,9,2004,229834,56908,139862,150236,105971,78061,43770,42357,48926,54727,50166
192345,False,57,2,49702,bueno,departamento,barrio_44,1039,2,1991,270625,55134,190276,142638,74701,54670,57551,56327,63524,47557,60292
378589,True,131,2,31522,bueno,casa,barrio_10,1020,9,1987,485211,79372,315448,144249,82375,79355,81082,70952,53678,48374,68649
662765,False,173,1,20159,excelente,PH,barrio_22,1037,7,1973,573233,56198,393475,144024,176774,51787,95136,47083,51420,37280,61568
658325,False,120,3,87356,muy bueno,casa,barrio_35,1004,3,1996,456706,64460,312199,148980,103321,81094,89860,64801,74632,51496,59949
167674,True,92,2,48040,muy bueno,departamento,barrio_43,1003,11,1968,371765,81905,244976,138113,104242,62166,70592,68798,48002,41480,58843
764890,True,80,2,16076,bueno,PH,barrio_52,1035,8,1963,262149,72158,233312,137953,76181,54479,20962,51590,48464,38335,56909
771836,False,62,3,31103,bueno,duplex,barrio_02,1026,2,1969,320506,60655,211848,148263,73800,67828,79718,55203,67579,41716,62149
475300,False,167,2,9003,regular,departamento,barrio_11,1007,8,1950,449209,59978,386669,135620,62037,54363,82632,48700,53633,35637,58420
599956,False,88,2,37358,muy bueno,departamento,barrio_16,1035,5,2016,326301,61396,241398,140659,104133,61526,69690,46502,66171,52839,65225
125354,False,169,1,30986,regular,PH,barrio_18,1004,10,1968,448046,55770,381899,136440,60512,51375,79540,66389,53291,41084,60021
796773,False,144,1,22935,regular,casa,barrio_59,1027,6,2006,469512,55066,322231,145042,52453,79850,80314,62051,69064,53397,55842
965920,True,34,2,129015,muy bueno,PH,barrio_46,1008,12,1980,285364,72178,143892,156543,104690,56131,84036,70768,61935,48349,57552
817808,True,72,2,14401,excelente,PH,barrio_19,1002,12,1974,389937,77719,215400,139826,182439,46779,64124,56352,61916,39432,63968
762838,True,72,3,63903,muy bueno,PH,barrio_58,1032,1,1966,306452,72158,231616,147561,110128,56729,34513,56721,61254,45001,62075
843930,False,92,3,208849,bueno,departamento,barrio_29,1033,5,2008,367465,60622,264140,151226,70180,58899,65869,67099,64773,53318,57517
672106,False,93,3,85975,bueno,duplex,barrio_30,1004,3,1986,462310,61546,264469,147778,71351,69663,111709,71155,66725,48130,55508
414145,False,200,2,35411,bueno,departamento,barrio_26,1003,6,1981,558727,61236,446087,141589,74367,57092,75313,59193,64878,48734,57979
976980,True,57,1,14658,bueno,PH,barrio_08,1024,2,1996,245016,70230,181581,141431,75711,54717,57972,48820,68434,48065,55676
