ListingId,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,YearBuilt,LotFrontage,MonthSold,State,District,HouseStyle,CentralAir,SaleCondition,SalePrice
195289,7018,5,5,0,2,0,4,8,0,410,1958,62,9,NY,Lakeshore,Townhouse,Y,Normal,164400
778463,10402,7,5,1226,2,0,3,6,0,740,1940,79,11,CA,Fairview,1Story,Y,Normal,311000
136075,7758,7,4,1040,1,1,4,7,2,240,1964,68,7,CO,Eastvale,2Story,N,Normal,265500
702978,9375,8,5,1053,2,1,3,9,1,648,1997,69,10,IL,Millbrook,2Story,N,Normal,274200
853682,10800,4,7,641,1,0,2,6,0,273,1934,79,3,IL,Hazelton,SplitLevel,N,Normal,103300
587732,6000,5,5,789,1,0,2,5,0,250,1937,60,2,FL,Stonegate,1Story,Y,Abnorml,89200
747989,8500,5,7,793,2,0,3,7,0,0,1933,69,5,FL,Orchard Bay,1Story,Y,Partial,146200
928327,11751,6,6,1844,2,0,3,7,1,546,1950,79,11,CA,Elmwood,2Story,N,Normal,333900
687244,9525,6,4,994,2,0,4,7,0,325,1955,58,1,IL,Larkspur,1Story,N,Abnorml,146700
125121,7750,7,5,384,2,1,3,7,1,400,1956,72,8,AZ,Edgewater,2Story,N,Abnorml,175700
650379,9965,7,5,1264,2,1,4,10,1,792,1993,84,10,AZ,Edgewater,Loft,Y,Normal,269200
668365,21000,6,5,1809,2,0,3,7,2,450,1963,122,2,CA,Northgate,2Story,N,Normal,301700
278740,7259,6,8,1028,2,1,3,9,1,180,1939,55,5,TX,Lindenwood,1Story,Y,Normal,207200
582659,3230,6,5,729,2,1,2,5,1,440,1933,,11,NY,Ironbridge,2Story,Y,Normal,225700
251840,11616,5,5,1092,1,0,3,6,1,288,1933,75,9,CA,Northgate,Townhouse,Y,Partial,186300
267156,8536,5,5,1125,1,1,2,5,0,430,1942,55,9,MA,Pinecrest,SplitLevel,Y,Normal,173200
287486,12376,7,5,1673,3,0,5,11,2,594,1942,79,7,IL,Kenwood,Ranch,Y,Normal,293800
730136,8461,6,5,728,2,1,3,8,1,390,1946,65,7,IN,Summit Park,2Story,N,Normal,132600
322396,21453,6,5,938,1,0,1,4,2,540,1950,99,7,OH,Marbleton,2Story,Y,Normal,171000
834016,6060,4,5,732,1,0,3,4,0,264,1906,,9,TX,Kestrel Point,1Story,Y,Normal,99200
801650,9464,6,7,1080,1,0,3,5,0,288,1929,71,11,CA,Northgate,Townhouse,N,Normal,179100
376078,7892,6,5,1199,2,0,2,5,0,530,1937,,4,MA,Quarry Bend,1Story,N,Partial,186000
453028,17043,6,5,1362,2,0,3,7,1,435,1963,98,1,IN,Verdant Oaks,1Story,Y,Partial,161700
187991,6780,6,8,520,1,0,2,5,0,0,1939,56,7,WA,Westbrook,1Story,Y,Normal,147800
571837,4928,6,5,1078,2,0,2,5,1,440,1967,38,11,WA,Thornbury,Ranch,N,Normal,180900
315772,4388,5,7,672,1,0,3,5,1,0,1959,45,11,OH,Quailridge,1Story,Y,Normal,104900
188785,7590,6,5,660,1,1,3,6,1,453,1965,75,2,AZ,Copper Ridge,1Story,Y,Normal,161700
657614,8973,5,7,1008,1,1,3,6,0,750,1914,69,6,OH,Marbleton,1Story,Y,Alloca,121200
866058,14200,7,6,924,2,1,4,8,2,487,1976,73,10,NY,Ironbridge,Ranch,Y,Normal,282000
945329,12224,6,5,992,2,1,3,7,1,390,1968,80,9,TX,Highpoint,SplitLevel,Y,Normal,179100
546445,7388,5,6,1063,1,0,3,7,0,624,1929,54,6,CA,Fairview,Loft,N,Abnorml,231800
830954,6853,8,5,1267,2,0,2,6,0,471,1961,66,3,IL,Hazelton,2Story,Y,Normal,195700
751916,10335,5,6,1461,2,1,3,7,1,440,1942,78,10,IN,Summit Park,2Story,Y,Normal,127400
862671,10400,7,6,1304,2,0,3,7,1,530,1957,,6,CA,Cedar Park,Ranch,Y,Partial,411000
781831,10355,5,5,1214,2,0,3,5,1,318,1924,72,5,CA,Greenfield,Ranch,Y,Family,265800
600482,11070,7,5,1907,3,0,5,9,0,766,1932,64,4,MA,Silverlake,1Story,Y,Normal,426700
391784,9066,8,5,1004,2,1,3,7,2,660,1961,71,9,IN,Zephyr Cove,Ranch,Y,Normal,191100
930846,15426,6,5,928,2,1,3,7,0,470,1943,89,12,WA,Ashcroft,SplitLevel,Y,Normal,195800
596631,10500,4,5,864,1,0,3,5,1,0,1921,77,7,CA,Northgate,Ranch,N,Normal,142500
411306,11645,7,5,1734,2,0,3,7,0,660,1966,88,6,IN,Underhill,Ranch,Y,Normal,185600
646661,8520,5,4,910,2,0,4,6,0,720,1943,75,8,IN,Verdant Oaks,2Story,Y,Normal,111500
156821,10335,7,5,1490,2,0,3,6,0,577,1942,62,5,AZ,Fernwood,Townhouse,Y,Normal,180100
763469,9100,5,5,1728,2,0,6,10,0,504,1933,75,4,WA,Ashcroft,Townhouse,Y,Normal,222600
684204,2522,6,5,970,2,0,3,7,0,380,1948,24,7,CA,Elmwood,2Story,N,Normal,235600
785279,6120,5,7,715,1,0,2,5,0,180,1916,53,3,IN,Tanglewood,2Story,Y,Normal,93600
962226,9505,7,5,884,2,1,3,8,1,434,1924,72,3,TX,Lindenwood,1Story,Y,Normal,176600
483395,7500,7,5,1080,1,0,3,6,0,0,1978,61,4,CA,Fairview,2Story,Y,Family,271700
608081,6240,5,4,896,1,0,3,7,0,240,1944,57,12,NC,Wheatfield,2Story,N,Normal,107500
363256,10356,5,6,969,1,1,3,5,0,440,1949,70,9,TX,Jamestown,2Story,N,Normal,130300
988717,13891,8,5,1710,2,0,2,6,1,866,1936,95,6,WA,Vinehill,Ranch,Y,Normal,313600
142079,14803,6,5,825,2,1,4,8,1,495,1942,93,2,CA,Greenfield,Loft,Y,Normal,319000
654003,13500,6,7,1602,1,0,1,4,1,564,1953,87,6,IL,Hazelton,Loft,N,Normal,170800
642167,11340,6,5,1200,1,0,4,7,0,312,1936,77,5,CO,Belmont,SplitLevel,Y,Normal,226800
976249,9600,6,5,572,1,0,2,5,0,0,1950,79,7,OH,Quailridge,1Story,Y,Normal,123200
234743,7200,5,7,0,1,0,2,5,0,625,1933,59,11,WA,Westbrook,SplitLevel,Y,Normal,134500
280547,12003,8,5,774,2,1,4,8,1,680,1939,74,7,AZ,Amberton,Ranch,N,Normal,150500
244238,12552,7,5,991,2,1,3,8,1,678,1978,90,3,MA,Riverton,2Story,Y,Normal,278300
503465,19378,7,5,1392,2,1,4,9,1,576,1929,104,6,TX,Granite Hills,Ranch,Y,Normal,229500
609616,11120,6,6,1232,2,0,3,6,0,516,1936,80,8,NC,Wheatfield,1Story,Y,Normal,133600
574085,13688,9,5,1572,2,1,3,10,2,726,1974,82,3,IL,Larkspur,2Story,Y,Normal,374300
672937,12182,7,5,1541,2,0,3,7,1,532,1949,81,6,WA,Thornbury,2Story,Y,Normal,326300
770494,5500,4,6,882,1,0,1,4,0,0,1937,55,9,NC,Valley Forge,Ranch,Y,Normal,98000
910730,5400,6,7,1149,2,0,3,5,0,216,1941,57,10,CA,Fairview,1Story,Y,Normal,308800
572053,10106,5,7,644,2,0,4,6,0,0,1928,54,9,CA,Cedar Park,Ranch,Y,Normal,164500
443484,10708,5,5,1617,1,0,2,7,3,303,1962,82,8,NY,Ironbridge,1Story,N,Normal,293800
220375,10562,8,5,1582,1,1,3,8,1,789,1956,75,6,OH,Norwood,2Story,Y,Normal,311300
696994,8244,7,5,840,2,1,3,7,1,440,1944,,5,CA,Northgate,2Story,Y,Normal,267000
236472,16669,8,6,1686,2,1,2,6,1,511,1983,97,11,FL,Prairie View,Loft,Y,Normal,319000
356368,12358,5,6,720,1,1,2,7,0,660,1939,71,3,CA,Northgate,1Story,Y,Normal,172100
605570,31770,6,5,1080,1,0,3,7,2,528,1950,133,6,FL,Stonegate,1Story,N,Normal,217600
752609,5306,7,7,1064,2,0,2,5,1,504,1950,65,6,NY,Kingsport,Ranch,Y,Normal,304400
529711,10197,6,5,1362,1,1,3,6,1,504,1957,71,7,FL,Prairie View,1Story,Y,Abnorml,173900
909870,12416,6,5,1606,2,0,3,7,1,616,1926,69,2,TX,Highpoint,SplitLevel,Y,Partial,205600
498279,12615,6,7,1202,2,0,4,7,1,576,1951,82,7,MA,Riverton,2Story,Y,Partial,288800
837106,10029,6,5,1151,2,1,4,8,1,521,1956,69,3,NC,Upland,2Story,N,Normal,218500
906889,13650,5,5,1052,2,0,4,8,1,451,1937,,3,IN,Willowbrook,1Story,Y,Normal,158800
206432,17423,9,5,2216,2,0,1,9,1,1166,1976,94,9,TX,Lindenwood,Ranch,Y,Family,328500
603443,8520,5,6,968,1,0,2,5,0,480,1944,,8,FL,Newhaven,SplitLevel,N,Normal,136800
132623,2117,6,5,756,2,1,3,5,1,440,1945,29,12,CA,Cedar Park,1Story,N,Normal,202800
443431,7588,7,6,793,1,1,4,9,1,216,1949,64,4,TX,Lindenwood,2Story,Y,Normal,190900
510521,9060,5,6,0,1,0,3,7,1,252,1925,72,2,IL,Kenwood,2Story,Y,Normal,143900
473432,11426,7,5,1362,2,1,3,6,0,484,1952,89,10,MA,Northfield,Loft,Y,Alloca,244800
364399,7438,5,8,504,1,0,3,5,0,576,1952,55,9,MA,Pinecrest,SplitLevel,Y,Normal,145400
662727,22950,10,9,1107,2,1,4,12,2,840,1983,108,5,IL,Larkspur,Ranch,Y,Normal,547600
369936,9947,7,5,1188,2,0,3,6,0,497,1964,93,5,AZ,Amberton,1Story,Y,Normal,191100
765233,10410,5,7,660,2,1,3,8,0,180,1926,80,7,NY,Kingsport,Townhouse,Y,Normal,286800
266652,7018,5,5,1086,0,2,2,6,2,528,1936,66,8,FL,Newhaven,2Story,Y,Normal,150300
940553,4923,8,5,1593,1,1,0,5,1,682,1961,36,9,IN,Underhill,2Story,Y,Normal,211500
892493,10570,8,8,853,2,1,3,10,2,440,1946,82,9,FL,Prairie View,Ranch,Y,Normal,229600
685515,7472,7,9,725,1,1,4,7,0,484,1990,56,3,NY,Lakeshore,2Story,N,Normal,331900
501375,9017,7,5,1431,2,0,3,6,0,666,1970,63,4,NY,Harborview,2Story,Y,Partial,369200
620013,2522,7,5,970,2,0,3,7,0,380,1960,,3,TX,Lindenwood,1Story,Y,Partial,176100
477968,7180,5,7,864,1,0,3,5,0,352,1908,57,6,FL,Redstone,2Story,Y,Normal,137000
819382,2280,6,6,855,2,1,3,7,1,440,1965,40,12,NC,Xavier Park,Ranch,N,Normal,151600
233349,9416,7,5,1726,2,0,3,8,1,786,1944,72,6,NY,Ironbridge,SplitLevel,Y,Normal,384200
477160,25419,8,4,1360,2,0,4,8,1,795,1960,105,5,WA,Union Heights,2Story,Y,Family,384300
740176,5520,6,6,755,1,0,5,8,0,0,1939,61,9,NY,Ironbridge,1Story,Y,Normal,205100
666236,9591,8,5,1713,2,0,3,7,1,856,1966,62,11,MA,Pinecrest,Ranch,Y,Normal,408500
698453,8546,4,5,1121,2,0,2,5,0,440,1929,84,8,AZ,Birchwood,SplitLevel,Y,Normal,120900
121504,10125,6,6,1196,2,0,3,6,2,473,1973,71,6,OH,Norwood,2Story,Y,Abnorml,195400
755037,7000,6,6,617,2,0,2,6,0,398,1935,55,7,TX,Lindenwood,2Story,Y,Partial,144500
223691,4438,6,5,848,1,0,1,3,1,420,1922,56,4,CA,Cedar Park,1Story,Y,Normal,166900
153124,3500,5,7,720,1,1,2,5,0,240,1940,49,7,IL,Millbrook,Ranch,N,Normal,114900
147460,11851,7,5,1424,2,0,3,5,0,500,1997,89,12,TX,Kestrel Point,1Story,Y,Normal,270200
820061,13673,5,5,1140,1,1,3,8,1,349,1921,86,6,OH,Overlook,Loft,Y,Partial,186100
637940,12493,4,5,1100,1,0,3,6,1,312,1935,83,2,FL,Quinton,2Story,Y,Abnorml,156600
306534,14364,7,5,1157,2,1,3,7,1,454,1965,89,9,CO,Dunmore,2Story,Y,Normal,310500
636090,8250,6,7,1092,1,0,3,6,0,504,1947,,4,FL,Stonegate,1Story,N,Abnorml,151000
312922,5604,5,6,864,1,0,2,5,0,0,1926,51,6,NY,Harborview,Ranch,Y,Normal,187500
440720,10420,6,5,1212,2,0,3,6,0,460,1946,67,6,OH,Pembroke,Loft,Y,Normal,138500
834228,8640,7,5,900,2,1,3,7,1,644,1972,74,3,IL,Inglewood,2Story,N,Normal,241300
196930,13568,5,5,990,1,0,3,5,0,576,1927,92,6,CO,Belmont,2Story,Y,Normal,181900
909446,10900,6,7,689,1,1,3,6,0,299,1953,64,11,CO,Glenmoor,Ranch,Y,Normal,217400
211281,10011,5,6,1070,1,0,2,6,1,447,1946,,6,WA,Union Heights,2Story,Y,Normal,238400
377566,8450,7,5,1436,2,0,3,8,0,484,1946,63,10,AZ,Copper Ridge,Townhouse,Y,Abnorml,190100
739172,9906,4,4,686,1,0,3,8,0,210,1954,76,7,FL,Quinton,1Story,Y,Normal,149200
858482,15660,7,9,798,1,1,3,8,2,431,1959,88,8,AZ,Edgewater,2Story,Y,Partial,224600
892323,3010,7,5,1248,2,0,2,5,0,438,1965,45,1,IL,Larkspur,Ranch,Y,Normal,205800
335787,8990,7,5,1498,2,0,2,5,0,675,1924,56,11,TX,Lindenwood,2Story,N,Normal,175300
612127,8068,6,5,1010,2,1,4,8,1,390,1948,59,5,OH,Norwood,Ranch,Y,Normal,204300
990032,11475,6,6,713,2,1,3,6,1,434,1945,80,4,CA,Cedar Park,1Story,Y,Partial,257300
761341,10500,4,6,864,1,0,2,4,0,576,1912,74,7,IL,Inglewood,Ranch,N,Abnorml,102400
951169,13472,10,5,2392,2,0,3,8,1,968,1973,96,8,NC,Valley Forge,1Story,Y,Normal,529200
767761,1680,5,5,630,2,1,3,6,0,280,1949,24,2,FL,Redstone,SplitLevel,Y,Normal,149100
450241,9950,7,5,1203,2,1,4,9,1,721,1938,64,4,TX,Granite Hills,SplitLevel,Y,Partial,193100
466264,1869,6,6,483,1,1,2,5,0,280,1950,29,1,IL,Millbrook,2Story,Y,Normal,146600
980208,8521,5,5,912,1,0,3,5,1,336,1945,58,7,AZ,Edgewater,2Story,Y,Normal,139400
158728,3182,7,5,1373,2,0,2,7,1,430,1970,39,6,OH,Quailridge,2Story,Y,Normal,169100
802162,8760,6,6,1194,1,0,3,6,0,312,1959,68,5,CA,Greenfield,1Story,Y,Partial,367000
254857,15138,8,5,1462,2,1,4,9,1,810,1973,88,6,IN,Zephyr Cove,1Story,Y,Normal,288100
514615,1680,6,5,483,1,1,2,5,1,288,1956,21,7,IN,Underhill,1Story,Y,Normal,94100
965463,10650,5,6,894,1,0,3,5,0,308,1918,85,7,NC,Xavier Park,Ranch,Y,Abnorml,128700
247134,7851,6,5,860,2,1,4,8,2,440,1922,59,11,WA,Westbrook,Townhouse,Y,Normal,221300
547096,1680,6,3,483,1,1,2,5,0,264,1942,25,7,NC,Wheatfield,Loft,N,Normal,107400
249069,8773,7,5,1414,2,0,3,6,0,494,1956,79,3,TX,Lindenwood,Townhouse,N,Normal,167900
432716,9453,7,7,996,2,1,3,7,0,457,1930,72,7,FL,Quinton,Ranch,Y,Normal,239100
755998,12030,8,5,1694,2,0,3,7,0,818,1961,77,9,NC,Trellis Park,1Story,Y,Normal,236600
272015,8741,6,4,735,1,1,3,7,1,220,1939,72,7,CA,Elmwood,Townhouse,Y,Normal,252800
821940,9000,8,5,1566,2,0,3,7,0,750,1969,62,8,WA,Thornbury,SplitLevel,Y,Normal,292700
646553,3880,5,9,686,1,0,2,4,0,0,1939,44,4,MA,Pinecrest,Loft,N,Normal,158400
100306,5000,5,4,540,1,0,3,6,0,352,1915,46,10,NY,Lakeshore,1Story,Y,Normal,152100
987212,10762,6,6,626,1,1,3,6,1,288,1938,81,5,CA,Fairview,SplitLevel,Y,Normal,266900
122458,8880,7,5,948,2,1,3,8,2,463,1938,69,10,MA,Pinecrest,Ranch,Y,Normal,264800
376073,10400,7,5,1845,2,0,3,6,1,604,1939,84,3,TX,Jamestown,SplitLevel,N,Normal,228300
443365,9142,6,8,1020,2,0,4,9,0,440,1953,72,11,IL,Larkspur,Loft,Y,Normal,251300
