listing_id,tiene_cochera,m2,banos,ingreso_zona,estado,tipo_vivienda,barrio,codigo_postal,mes_venta,anio_alta,precio,dias_para_vender,dias_reales,visitas_semana,se_vendio,segmento,tiene_pileta,apto_credito,a_reciclar
516923,False,107,2,12631,bueno,departamento,barrio_25,1012,6,2008,329313,68,68,2,1,economica,1,1,0
459437,True,80,1,51059,bueno,departamento,barrio_18,1020,2,1965,331352,70,70,0,0,economica,0,0,1
548986,True,62,1,44299,muy bueno,duplex,barrio_37,1019,1,1963,302006,62,62,0,0,economica,1,0,1
420552,False,77,2,47424,muy bueno,casa,barrio_08,1028,10,2012,364049,9,9,6,1,media,0,1,0
362249,True,53,1,97643,muy bueno,PH,barrio_35,1038,6,2016,333922,20,20,14,1,economica,0,0,0
900251,False,126,3,96054,excelente,departamento,barrio_05,1021,6,1993,484381,65,65,6,1,premium,0,1,0
738013,True,68,3,25317,bueno,casa,barrio_38,1031,5,1991,342398,60,60,3,1,economica,0,1,1
193762,True,133,3,42413,muy bueno,PH,barrio_37,1023,4,1975,449696,767,77,3,1,premium,0,0,1
480166,True,81,3,8174,muy bueno,duplex,barrio_05,1035,12,1993,338041,99,99,1,0,economica,0,0,1
863005,True,58,2,39312,bueno,PH,barrio_45,1016,10,1993,268371,67,67,2,1,economica,1,0,1
190430,True,80,1,19241,excelente,casa,barrio_24,1015,9,1986,425464,83,83,4,1,media,0,1,1
217541,True,25,2,31285,regular,casa,barrio_47,1016,5,1996,227193,56,56,1,1,economica,0,0,1
643954,True,91,1,9430,excelente,departamento,barrio_02,1039,9,1989,449224,38,38,7,1,media,0,0,0
711519,True,89,3,50206,muy bueno,PH,barrio_10,1024,5,2012,412644,28,28,11,1,media,1,0,0
210226,False,124,2,9346,regular,PH,barrio_29,1006,7,1997,378312,76,76,2,0,media,1,1,1
581295,True,29,2,40889,muy bueno,casa,barrio_11,1001,2,1977,314276,85,85,3,0,economica,0,1,1
258581,True,136,3,13613,regular,PH,barrio_19,1020,9,1996,405078,68,68,1,0,media,1,0,1
125448,True,124,2,18403,muy bueno,departamento,barrio_39,1032,1,1966,455406,70,70,3,1,premium,1,1,1
980934,False,139,2,91472,muy bueno,PH,barrio_08,1019,9,1965,425200,76,76,3,0,media,1,0,0
562905,False,93,1,58124,muy bueno,duplex,barrio_40,1022,8,2008,378753,33,33,16,1,media,0,1,1
590201,False,130,1,91068,excelente,PH,barrio_06,1031,1,1991,498652,29,29,11,1,premium,1,1,1
428424,False,44,1,126473,regular,casa,barrio_10,1020,7,1953,286964,104,104,0,0,economica,0,0,1
112384,True,120,2,19570,bueno,duplex,barrio_35,1036,3,1975,448498,62,62,2,1,media,0,1,1
329297,False,68,3,120473,bueno,casa,barrio_47,1025,6,2019,358773,66,66,4,1,media,0,1,0
726730,True,37,1,11244,regular,duplex,barrio_10,1029,1,1995,297154,80,80,2,1,economica,1,1,1
249517,False,56,2,65965,bueno,casa,barrio_17,1031,9,2011,252896,122,122,1,0,economica,0,0,1
597573,True,95,1,24473,bueno,PH,barrio_55,1025,7,1988,341118,81,81,1,0,economica,1,1,0
317544,True,66,1,17253,bueno,casa,barrio_59,1002,5,1953,326206,55,55,1,0,economica,0,1,1
502132,False,108,1,59372,bueno,casa,barrio_34,1017,11,1962,407108,90,90,3,0,media,0,0,1
137027,False,32,2,77340,excelente,PH,barrio_26,1005,8,1956,332242,63,63,4,0,economica,0,0,1
230462,False,25,2,75525,bueno,PH,barrio_20,1020,8,2002,235927,87,87,0,1,economica,0,1,1
130941,True,143,2,43126,excelente,casa,barrio_36,1005,2,2003,633135,74,74,6,1,premium,1,1,0
498444,True,127,2,40359,bueno,duplex,barrio_35,1020,7,1982,480897,75,75,2,1,premium,1,0,0
984263,True,58,2,55353,bueno,departamento,barrio_17,1013,9,2001,278788,88,88,0,0,economica,0,0,1
123712,True,95,1,46305,bueno,departamento,barrio_01,1000,12,1989,317204,82,82,0,0,economica,0,1,1
761012,True,131,3,55999,bueno,departamento,barrio_09,1004,8,2002,429437,79,79,1,1,media,0,0,0
793643,True,110,2,42753,bueno,departamento,barrio_57,1020,3,1997,466415,65,65,5,1,premium,0,1,1
465326,False,100,1,71270,bueno,casa,barrio_25,1003,9,1982,350673,72,72,1,0,economica,1,0,1
338099,True,133,2,9880,bueno,departamento,barrio_28,1034,1,1996,435968,60,60,2,0,media,1,1,1
913956,False,69,2,32695,bueno,casa,barrio_28,1030,4,1972,340187,100,100,1,1,economica,0,1,1
461441,False,96,3,12003,muy bueno,casa,barrio_46,1028,12,2003,452179,42,42,7,1,premium,0,0,0
273626,False,94,1,45314,bueno,departamento,barrio_03,1006,10,2014,318090,40,40,5,1,economica,1,1,0
680005,True,85,3,135069,muy bueno,PH,barrio_04,1031,11,1964,337494,88,88,0,0,economica,0,0,1
271249,True,81,2,24853,bueno,duplex,barrio_16,1025,5,1997,358527,74,74,4,0,media,0,1,1
844964,True,98,1,40207,excelente,departamento,barrio_29,1015,9,1957,468634,66,66,6,1,premium,0,1,1
264980,False,96,2,66515,muy bueno,departamento,barrio_40,1000,9,1976,383632,68,68,5,0,media,0,0,0
569931,True,58,3,6945,excelente,duplex,barrio_29,1021,3,1997,416945,93,93,13,1,media,1,1,0
406920,True,123,1,23916,muy bueno,PH,barrio_26,1031,12,1969,438296,70,70,5,1,media,1,1,0
665102,False,61,3,48611,regular,duplex,barrio_56,1001,12,1966,266475,91,91,0,0,economica,0,0,1
112796,False,87,3,3577,bueno,duplex,barrio_09,1002,2,1977,312107,56,56,2,0,economica,0,1,1
410517,False,85,3,16623,bueno,duplex,barrio_34,1015,10,1958,368289,91,91,0,0,media,0,0,1
459698,True,108,1,87613,muy bueno,duplex,barrio_32,1020,6,1994,448822,53,53,2,1,media,0,1,0
735484,False,25,2,81016,muy bueno,departamento,barrio_28,1018,9,1959,235421,69,69,2,1,economica,1,0,1
891377,True,126,2,48994,bueno,departamento,barrio_48,1017,7,1973,431034,76,76,4,0,media,1,1,1
886609,True,71,2,73553,excelente,departamento,barrio_16,1010,3,1972,419119,53,53,3,1,media,0,0,0
426159,False,138,3,43135,regular,casa,barrio_57,1002,2,2018,513381,100,100,4,1,premium,1,0,0
843398,False,78,1,56631,muy bueno,PH,barrio_19,1001,7,2020,323853,46,46,11,0,economica,0,1,0
356529,True,93,2,28211,muy bueno,PH,barrio_32,1003,11,1955,343553,83,83,1,1,economica,0,0,0
202140,True,162,3,39841,regular,duplex,barrio_31,1027,10,1961,470820,96,96,0,0,premium,1,0,1
499401,True,85,3,21897,muy bueno,casa,barrio_50,1031,4,2001,427524,5,5,3,1,media,0,1,1
749637,False,138,2,99786,muy bueno,departamento,barrio_26,1017,11,1971,460764,62,62,3,0,premium,1,0,1
978875,False,96,3,122669,regular,casa,barrio_17,1003,5,1995,344579,102,102,0,0,economica,0,1,0
485280,True,110,2,109527,bueno,duplex,barrio_01,1016,7,2015,375880,106,106,2,0,media,0,1,1
837691,True,97,2,26200,bueno,departamento,barrio_21,1039,4,1961,388435,103,103,0,0,media,1,0,1
116916,False,125,2,16932,muy bueno,casa,barrio_49,1009,7,2018,435076,74,74,5,0,media,0,0,0
945153,False,71,1,100869,regular,PH,barrio_00,1019,7,1953,264552,99,99,0,0,economica,0,0,1
395077,True,61,1,56113,excelente,duplex,barrio_53,1021,9,1966,356783,434,43,2,1,media,0,0,0
146760,False,73,3,47234,excelente,duplex,barrio_32,1013,6,1986,436635,41,41,2,1,media,0,0,0
946563,False,98,1,21875,bueno,casa,barrio_08,1017,7,2012,327195,39,39,6,0,economica,0,0,1
609171,True,87,2,51048,bueno,departamento,barrio_18,1018,8,1989,378487,78,78,2,1,media,1,0,1
775359,False,120,2,15242,muy bueno,casa,barrio_33,1018,6,1959,412424,64,64,1,1,media,1,0,1
498127,False,141,2,60310,muy bueno,departamento,barrio_18,1028,7,1967,450631,67,67,4,1,premium,1,0,0
112213,True,61,2,109438,bueno,PH,barrio_06,1023,2,2004,341560,59,59,1,0,economica,0,1,1
540367,False,69,3,133898,bueno,departamento,barrio_39,1002,11,1989,342602,76,76,2,1,economica,0,1,1
997246,False,45,3,64012,regular,casa,barrio_40,1000,2,1950,257610,117,117,0,0,economica,0,0,1
368850,True,166,3,12021,excelente,PH,barrio_07,1016,11,1985,570163,54,54,4,1,premium,1,1,0
778702,True,106,2,42526,bueno,casa,barrio_16,1036,10,1978,367603,76,76,2,1,media,1,1,0
160431,False,112,3,201138,excelente,casa,barrio_14,1001,12,1950,504564,46,46,5,1,premium,0,1,1
952820,True,48,2,18126,bueno,casa,barrio_39,1002,1,1967,292378,95,95,1,0,economica,1,0,1
699001,True,95,2,34636,excelente,casa,barrio_43,1027,3,2016,521540,21,21,13,1,premium,0,1,0
444289,True,113,3,112512,regular,departamento,barrio_43,1018,1,1999,431303,80,80,4,0,media,1,0,0
274828,False,86,3,59499,regular,duplex,barrio_56,1009,6,1955,328828,92,92,0,0,economica,0,0,1
642890,False,133,1,264111,excelente,duplex,barrio_46,1008,11,1951,551303,64,64,2,0,premium,1,1,1
159396,False,176,3,20205,excelente,casa,barrio_19,1026,10,1974,599168,107,107,8,1,premium,0,1,1
731319,False,62,3,16452,bueno,casa,barrio_06,1020,9,1983,301377,82,82,0,1,economica,1,1,0
380218,True,59,3,96693,bueno,departamento,barrio_36,1025,11,1982,324750,85,85,0,1,economica,0,1,1
130715,True,64,3,13951,bueno,PH,barrio_54,1011,1,1999,275250,80,80,0,0,economica,0,1,0
257425,False,151,3,31026,bueno,PH,barrio_58,1021,10,1962,428501,119,119,0,0,media,1,0,1
782494,True,131,1,34458,bueno,duplex,barrio_13,1034,4,1953,431949,86,86,0,0,media,0,0,1
466271,False,90,1,83182,excelente,departamento,barrio_14,1012,9,1997,413161,34,34,7,0,media,1,1,0
788717,True,96,1,59362,bueno,casa,barrio_02,1015,10,2013,386502,866,87,4,1,media,0,1,0
101524,True,66,1,52347,muy bueno,casa,barrio_08,1006,9,1961,292072,87,87,0,0,economica,0,1,1
128794,False,126,1,26319,regular,casa,barrio_33,1025,6,1975,356447,154,154,0,0,media,0,0,1
190622,True,82,2,95990,regular,casa,barrio_32,1001,8,1994,351657,103,103,1,0,economica,0,1,1
549809,True,86,1,909508,muy bueno,duplex,barrio_22,1009,6,1961,418757,41,41,1,0,media,0,0,0
761011,True,116,1,63135,bueno,departamento,barrio_18,1028,8,2011,380516,44,44,5,1,media,0,1,0
428988,True,88,2,39330,muy bueno,duplex,barrio_49,1000,6,1966,360809,103,103,2,1,media,1,1,0
767273,True,87,3,12858,regular,PH,barrio_27,1039,5,1987,307059,105,105,0,1,economica,0,0,1
665911,False,95,1,21808,excelente,PH,barrio_48,1016,3,1974,443512,46,46,4,1,media,1,1,0
227191,True,123,2,30608,muy bueno,departamento,barrio_57,1015,5,1997,525484,41,41,10,1,premium,1,1,0
255487,False,153,2,23678,excelente,duplex,barrio_19,1021,9,1964,527785,912,91,0,1,premium,1,0,0
208565,False,115,3,35851,regular,casa,barrio_12,1025,11,1956,374071,77,77,1,0,media,1,0,1
802267,True,123,1,150605,bueno,casa,barrio_57,1018,2,1986,494661,40,40,2,1,premium,1,1,1
970767,True,88,3,98492,bueno,departamento,barrio_38,1035,3,2011,339643,81,81,0,0,economica,1,1,0
437236,False,70,1,31982,bueno,departamento,barrio_17,1038,7,1994,262053,80,80,0,0,economica,0,1,0
134579,False,118,1,13813,bueno,PH,barrio_37,1008,9,2003,315566,74,74,2,0,economica,0,0,1
627046,False,101,1,105862,regular,PH,barrio_30,1028,3,1980,415073,74,74,4,0,media,0,0,1
180175,True,45,3,34918,bueno,PH,barrio_54,1012,4,1959,252141,105,105,0,0,economica,1,0,1
968522,False,84,1,9125,bueno,departamento,barrio_15,1039,1,1980,261706,100,100,2,1,economica,1,1,1
887838,False,92,3,64212,bueno,departamento,barrio_59,1010,1,2020,399276,50,50,8,1,media,0,0,0
773852,False,77,3,82500,bueno,duplex,barrio_56,1011,2,2005,337920,82,82,2,0,economica,1,0,0
616181,True,147,3,5215,bueno,casa,barrio_10,1028,9,1999,495922,1,1,3,1,premium,1,1,1
119179,False,112,1,18776,muy bueno,PH,barrio_09,1031,11,1971,390689,81,81,2,0,media,0,0,1
437947,True,143,1,33244,bueno,PH,barrio_31,1005,6,1992,428341,72,72,2,0,media,0,1,0
572283,False,104,1,65356,bueno,duplex,barrio_02,1022,3,1994,400388,42,42,3,1,media,1,1,1
487064,True,98,3,24038,bueno,PH,barrio_17,1013,12,1996,367949,75,75,3,0,media,0,0,0
304138,False,62,1,18663,muy bueno,departamento,barrio_26,1024,4,2013,295984,37,37,10,1,economica,0,0,1
989949,True,95,2,64974,bueno,departamento,barrio_58,1022,2,1998,347013,86,86,2,0,economica,0,1,0
719598,False,95,2,24968,muy bueno,departamento,barrio_59,1039,2,1965,367460,54,54,2,1,media,1,0,1
715715,True,47,3,56030,excelente,departamento,barrio_09,1037,5,1965,330116,74,74,2,0,economica,0,0,0
246399,True,76,2,14925,bueno,casa,barrio_53,1026,9,1994,294890,64,64,2,0,economica,0,0,0
938138,False,84,2,12310,excelente,PH,barrio_05,1027,5,2011,363348,48,48,5,1,media,1,1,0
865769,False,109,3,66451,muy bueno,casa,barrio_44,1035,6,2017,421914,76,76,11,1,media,0,1,0
879501,True,111,3,44445,regular,PH,barrio_50,1007,5,1993,392209,93,93,0,0,media,0,0,1
440708,False,75,2,75960,bueno,duplex,barrio_53,1029,12,1987,319946,105,105,0,0,economica,1,1,1
549383,True,111,2,23716,muy bueno,duplex,barrio_13,1030,9,2007,476512,39,39,9,1,premium,1,1,0
374338,False,89,2,19224,excelente,casa,barrio_53,1005,8,2019,476148,22,22,14,0,premium,0,1,0
172429,False,25,3,107858,bueno,duplex,barrio_06,1035,6,1951,208724,89,89,1,0,economica,0,0,1
477913,False,78,2,10739,regular,casa,barrio_31,1027,7,1972,284574,119,119,1,0,economica,1,1,0
397366,False,133,2,98831,muy bueno,departamento,barrio_28,1013,11,1973,429192,64,64,2,1,media,1,1,1
260643,True,36,3,104444,regular,casa,barrio_18,1019,8,1990,261058,50,50,2,0,economica,0,0,1
659032,True,99,3,72263,muy bueno,casa,barrio_01,1019,10,1970,385198,88,88,1,0,media,0,1,1
380975,False,150,2,20947,bueno,casa,barrio_46,1036,1,1972,446612,81,81,0,0,media,0,1,1
968699,True,68,1,18897,muy bueno,casa,barrio_20,1038,11,1951,338906,162,162,0,0,economica,0,1,1
823243,True,95,1,30698,excelente,duplex,barrio_39,1032,12,1950,454567,96,96,1,0,premium,0,0,1
259459,False,49,2,12887,muy bueno,casa,barrio_24,1026,9,1981,293192,48,48,3,1,economica,0,1,0
549330,True,152,3,16825,muy bueno,departamento,barrio_22,1004,12,2020,534292,29,29,16,1,premium,1,1,1
950513,True,92,3,60827,muy bueno,PH,barrio_53,1036,7,1970,399892,61,61,3,0,media,0,0,1
611889,False,97,3,61052,muy bueno,duplex,barrio_05,1005,4,1967,386380,85,85,0,0,media,1,0,0
136408,True,142,1,15683,excelente,duplex,barrio_44,1006,8,1968,557588,68,68,6,0,premium,0,0,1
917218,True,118,2,62374,regular,casa,barrio_44,1002,8,2019,415826,111,111,2,0,media,0,1,0
311831,True,64,3,52232,muy bueno,duplex,barrio_22,1037,2,1997,392723,31,31,11,1,media,0,0,0
131982,True,72,3,121529,bueno,PH,barrio_15,1019,3,1996,313804,77,77,0,0,economica,1,0,1
108961,False,112,1,57257,excelente,casa,barrio_00,1009,4,1963,482065,1,1,6,0,premium,0,0,0
743244,False,73,3,84699,muy bueno,departamento,barrio_56,1003,7,2014,358268,50,50,7,1,media,1,1,0
433868,False,25,1,53192,bueno,duplex,barrio_56,1016,2,1963,222084,75,75,0,0,economica,0,1,1
290054,True,93,1,79534,bueno,departamento,barrio_14,1028,10,2018,388536,52,52,8,1,media,0,1,0
108669,True,43,3,12969,bueno,casa,barrio_01,1039,2,2017,257082,46,46,1,0,economica,0,1,1
839215,True,152,3,32945,muy bueno,duplex,barrio_07,1022,12,1990,479934,65,65,2,1,premium,0,1,1
879590,False,101,3,35200,bueno,duplex,barrio_04,1024,9,2011,309857,54,54,1,1,economica,1,1,0
208481,False,63,2,29882,regular,duplex,barrio_49,1033,5,2020,312170,47,47,1,1,economica,0,1,0
263481,True,71,2,51798,excelente,duplex,barrio_53,1036,5,1991,400193,92,92,5,1,media,0,1,0
268311,False,29,2,60325,muy bueno,duplex,barrio_09,1011,9,2004,229834,41,41,2,0,economica,1,1,0
192345,False,57,2,49702,bueno,departamento,barrio_44,1039,2,1991,270625,66,66,4,1,economica,0,0,0
378589,True,131,2,31522,bueno,casa,barrio_10,1020,9,1987,485211,125,125,2,1,premium,0,0,1
662765,False,173,1,20159,excelente,PH,barrio_22,1037,7,1973,573233,73,73,10,0,premium,0,1,1
658325,False,120,3,87356,muy bueno,casa,barrio_35,1004,3,1996,456706,9,9,8,0,premium,0,1,1
167674,True,92,2,48040,muy bueno,departamento,barrio_43,1003,11,1968,371765,67,67,1,1,media,1,1,1
764890,True,80,2,16076,bueno,PH,barrio_52,1035,8,1963,262149,109,109,0,0,economica,0,0,1
771836,False,62,3,31103,bueno,duplex,barrio_02,1026,2,1969,320506,109,109,0,1,economica,1,0,1
475300,False,167,2,9003,regular,departamento,barrio_11,1007,8,1950,449209,99,99,0,0,media,0,0,1
599956,False,88,2,37358,muy bueno,departamento,barrio_16,1035,5,2016,326301,41,41,6,1,economica,1,0,0
125354,False,169,1,30986,regular,PH,barrio_18,1004,10,1968,448046,101,101,1,0,media,0,0,1
796773,False,144,1,22935,regular,casa,barrio_59,1027,6,2006,469512,86,86,1,1,premium,1,1,1
965920,True,34,2,129015,muy bueno,PH,barrio_46,1008,12,1980,285364,51,51,6,0,economica,1,0,1
817808,True,72,2,14401,excelente,PH,barrio_19,1002,12,1974,389937,55,55,1,1,media,1,1,1
762838,True,72,3,63903,muy bueno,PH,barrio_58,1032,1,1966,306452,69,69,0,0,economica,0,0,1
843930,False,92,3,208849,bueno,departamento,barrio_29,1033,5,2008,367465,58,58,2,0,media,1,1,0
672106,False,93,3,85975,bueno,duplex,barrio_30,1004,3,1986,462310,56,56,8,1,premium,1,1,0
414145,False,200,2,35411,bueno,departamento,barrio_26,1003,6,1981,558727,77,77,1,0,premium,1,0,1
976980,True,57,1,14658,bueno,PH,barrio_08,1024,2,1996,245016,65,65,0,1,economica,0,0,1
179698,True,103,3,12214,bueno,departamento,barrio_56,1001,7,2006,329796,69,69,1,1,economica,0,1,0
105609,False,117,3,26128,bueno,casa,barrio_00,1029,2,1996,435355,100,100,0,1,media,0,1,0
858392,True,95,2,20961,muy bueno,PH,barrio_10,1036,8,1983,405657,57,57,2,1,media,1,1,1
723005,True,99,3,20422,excelente,casa,barrio_13,1030,6,2013,537819,35,35,32,1,premium,1,1,0
308483,False,58,3,27972,excelente,duplex,barrio_16,1009,12,2013,427932,34,34,15,1,media,1,1,0
115354,False,99,2,33463,regular,PH,barrio_07,1007,11,2018,347171,79,79,1,0,economica,0,1,0
493936,False,113,1,53539,bueno,departamento,barrio_01,1027,8,1956,338551,102,102,1,0,economica,1,0,1
303861,True,106,1,13491,bueno,departamento,barrio_40,1002,6,2013,376220,55,55,11,1,media,1,0,0
904132,True,115,3,21041,bueno,PH,barrio_58,1021,9,1963,375469,100,100,0,0,media,1,0,1
751196,True,144,2,31961,bueno,departamento,barrio_07,1017,9,1994,454126,89,89,2,0,premium,1,1,1
670218,True,128,1,31058,bueno,departamento,barrio_17,1029,2,1996,386952,92,92,1,0,media,0,1,1
813446,True,97,1,157809,muy bueno,departamento,barrio_30,1008,5,1964,471681,53,53,5,0,premium,1,0,1
547082,True,54,3,43730,bueno,departamento,barrio_55,1030,12,1950,260811,102,102,0,0,economica,0,0,1
881392,False,74,1,9988,excelente,duplex,barrio_41,1027,4,2016,436678,10,10,21,1,media,0,1,0
345326,True,87,1,50744,regular,casa,barrio_45,1009,1,2013,368348,116,116,3,0,media,0,1,1
949401,True,104,2,56192,regular,duplex,barrio_34,1014,11,1962,370733,105,105,0,0,media,1,0,1
581758,True,78,2,32856,bueno,departamento,barrio_25,1002,12,1992,312032,80,80,1,0,economica,0,1,1
473099,False,62,3,13757,regular,PH,barrio_11,1017,8,1960,259961,76,76,0,0,economica,0,0,1
426930,True,53,3,148219,bueno,casa,barrio_51,1010,8,1990,317822,96,96,3,0,economica,0,1,1
450960,True,37,2,15430,excelente,departamento,barrio_48,1004,5,1972,376718,52,52,10,1,media,0,1,0
129874,True,87,1,61612,bueno,duplex,barrio_01,1022,5,2003,334488,63,63,1,1,economica,1,0,1
985926,True,44,3,42618,bueno,departamento,barrio_42,1022,11,1990,267665,82,82,1,0,economica,0,0,0
752444,False,60,2,58727,muy bueno,casa,barrio_05,1003,11,1985,317952,91,91,0,0,economica,0,1,1
374449,True,81,3,142271,bueno,PH,barrio_44,1007,6,1998,391108,73,73,2,0,media,1,0,1
740814,True,48,2,56915,muy bueno,casa,barrio_49,1003,4,1983,325957,60,60,2,0,economica,1,1,0
401176,False,108,1,23227,bueno,departamento,barrio_07,1027,3,1950,373347,102,102,0,0,media,0,0,1
782945,True,121,3,87974,muy bueno,departamento,barrio_26,1013,1,1992,482200,54,54,6,0,premium,1,0,0
449047,False,76,1,21919,regular,PH,barrio_07,1002,6,2005,259830,84,84,1,0,economica,0,1,1
585852,True,80,3,41392,bueno,PH,barrio_34,1007,7,1984,345958,87,87,4,0,economica,0,0,1
308958,False,114,3,12907,muy bueno,PH,barrio_55,1039,9,1962,360476,56,56,1,0,media,0,0,1
426747,True,70,1,15889,excelente,duplex,barrio_04,1010,10,1950,315544,87,87,1,0,economica,1,1,0
292702,True,68,3,37840,bueno,casa,barrio_23,1027,5,1971,352818,97,97,0,0,economica,0,0,1
867413,True,137,1,48750,muy bueno,departamento,barrio_58,1018,3,2004,446056,647,65,0,1,media,1,1,1
123910,False,126,2,9303,regular,casa,barrio_18,1007,11,1972,403777,790,79,0,1,media,0,1,1
733127,True,116,2,54059,bueno,casa,barrio_07,1012,10,2017,402970,13,13,1,1,media,1,0,1
826466,False,127,2,18854,regular,casa,barrio_29,1000,7,1973,376124,105,105,1,0,media,1,0,1
930313,False,26,2,101088,muy bueno,PH,barrio_30,1029,1,1980,320031,60,60,14,1,economica,0,1,1
897673,True,142,2,27404,bueno,duplex,barrio_39,1013,6,2003,469171,33,33,1,1,premium,1,1,1
609865,True,109,2,14781,muy bueno,duplex,barrio_18,1019,8,1993,416531,65,65,3,1,media,0,1,0
619072,True,130,3,38586,regular,PH,barrio_57,1006,11,1952,421419,89,89,1,0,media,1,0,1
114929,False,109,1,17449,excelente,duplex,barrio_31,1032,7,1955,434778,70,70,0,0,media,1,1,0
208780,False,97,3,100223,muy bueno,casa,barrio_17,1008,6,1963,401258,61,61,0,0,media,0,0,0
146371,True,85,1,36331,regular,duplex,barrio_57,1022,5,2011,392642,58,58,5,0,media,1,1,0
790195,True,108,1,32166,regular,duplex,barrio_55,1034,5,1951,343540,145,145,0,0,economica,1,0,0
975722,False,84,3,58305,regular,casa,barrio_29,1028,1,1955,331559,123,123,0,0,economica,0,0,1
164550,True,125,1,16253,excelente,departamento,barrio_01,1024,2,2005,445759,60,60,3,0,media,1,1,0
342415,True,39,3,12948,bueno,duplex,barrio_35,1035,10,1994,320264,82,82,2,1,economica,0,0,1
127931,True,76,1,50346,bueno,departamento,barrio_33,1007,5,2019,270301,69,69,2,1,economica,0,0,0
995909,True,167,1,15067,bueno,duplex,barrio_08,1038,11,1965,462382,120,120,3,0,premium,1,0,1
278484,False,73,3,15063,muy bueno,duplex,barrio_38,1022,5,1996,321223,74,74,1,0,economica,0,0,1
362167,False,87,1,70927,bueno,departamento,barrio_50,1016,12,1959,320295,93,93,0,0,economica,0,1,1
155215,True,64,3,55274,bueno,casa,barrio_06,1010,3,1991,306666,64,64,3,1,economica,0,1,0
418204,True,107,2,13319,excelente,departamento,barrio_43,1029,3,1957,469079,65,65,3,0,premium,0,0,1
